game_id,pot_size,num_players,has_flop,has_turn,has_river,has_raise,has_all_in,did_show,is_bluff,winner
787017934,4.99,4,1,1,1,0,0,0,1,IlxxxlI
787017938,5.0,8,0,0,0,1,0,0,1,gust
787017885,4.0,6,0,0,0,1,0,0,1,anarkopoker
787017870,2.5,9,0,0,0,1,0,0,1,IlxxxlI
787017852,85.2,8,1,1,1,1,0,1,0,IlxxxlI
787017820,3.45,7,1,0,0,1,0,0,1,choiCES
787017805,2.5,6,0,0,0,1,0,0,1,WeakAndWeary
787017765,5.0,8,0,0,0,1,0,0,1,IlxxxlI
787017732,1.19,4,1,0,0,0,0,0,1,Jui
787017644,2.5,8,0,0,0,1,0,0,1,gust
787017645,5.0,6,0,0,0,1,0,0,1,IlxxxlI
787017583,4.5,4,0,0,0,1,0,0,1,Parcker
787017567,2.38,7,1,0,0,1,0,0,1,Spagetti1
787017444,0.95,4,1,0,0,0,0,0,1,jjeannin1
787017436,2.0,6,0,0,0,0,0,0,0,aleks0v
787017405,2.85,7,1,0,0,1,0,0,1,choiCES
787017368,399.0,6,1,1,1,1,0,1,0,PANDAisEVIL
787017330,1.25,7,0,0,0,1,0,0,1,choiCES
787017329,2.0,6,0,0,0,0,0,0,0,pineapplesand
787017304,78.5,6,1,1,1,1,0,1,0,IlxxxlI
787017147,2.0,6,0,0,0,0,0,0,0,PANDAisEVIL
787017134,196.32,9,1,1,1,1,0,1,0,dankmann
787017071,36.4,5,1,1,1,1,0,1,0,Parcker
787017059,4.0,6,0,0,0,1,0,0,1,IlxxxlI
787017011,2.85,7,1,0,0,1,0,0,1,BlueSmoke
787017020,4.0,6,0,0,0,1,0,0,1,IbetUmuck
787016856,30.18,8,1,1,1,1,0,1,0,aleks0v
787016822,0.5,7,0,0,0,0,0,0,0,BlueSmoke
787016821,77.5,8,1,1,1,1,0,1,1,StephCurry
787016813,39.43,6,1,1,1,1,0,1,0,ali23imsirovic
787016752,3.8,5,1,1,0,0,0,0,1,IlxxxlI
787016623,1.25,7,0,0,0,1,0,0,1,choiCES
